year,month,treatment,N_ID
2014,1,1,585
2014,1,2,1931
2014,1,3,117
2015,1,1,816
2015,1,2,2245
2015,1,3,174
2016,1,1,1059
2016,1,2,2640
2016,1,3,286
2017,1,1,1035
2017,1,2,2929
2017,1,3,388
2018,1,1,1093
2018,1,2,3175
2018,1,3,421
2019,1,1,1321
2019,1,2,3399
2019,1,3,414
2020,1,1,1111
2020,1,2,3730
2020,1,3,480
2021,1,1,1147
2021,1,2,3949
2021,1,3,461
2014,2,1,582
2014,2,2,2008
2014,2,3,148
2015,2,1,816
2015,2,2,2261
2015,2,3,210
2016,2,1,1036
2016,2,2,2671
2016,2,3,335
2017,2,1,979
2017,2,2,2967
2017,2,3,417
2018,2,1,1087
2018,2,2,3177
2018,2,3,444
2019,2,1,1289
2019,2,2,3430
2019,2,3,490
2020,2,1,1117
2020,2,2,3744
2020,2,3,514
2021,2,1,1168
2021,2,2,3961
2021,2,3,483
2014,3,1,614
2014,3,2,2043
2014,3,3,145
2015,3,1,842
2015,3,2,2313
2015,3,3,205
2016,3,1,1037
2016,3,2,2682
2016,3,3,323
2017,3,1,991
2017,3,2,2976
2017,3,3,423
2018,3,1,1092
2018,3,2,3183
2018,3,3,420
2019,3,1,1280
2019,3,2,3378
2019,3,3,506
2020,3,1,1106
2020,3,2,3730
2020,3,3,528
2021,3,1,1199
2021,3,2,3954
2021,3,3,508
2014,4,1,649
2014,4,2,2065
2014,4,3,143
2015,4,1,839
2015,4,2,2357
2015,4,3,223
2016,4,1,1015
2016,4,2,2710
2016,4,3,314
2017,4,1,997
2017,4,2,2958
2017,4,3,402
2018,4,1,1089
2018,4,2,3178
2018,4,3,389
2019,4,1,1266
2019,4,2,3445
2019,4,3,491
2020,4,1,1099
2020,4,2,3781
2020,4,3,491
2021,4,1,1187
2021,4,2,3918
2021,4,3,526
2014,5,1,667
2014,5,2,2087
2014,5,3,139
2015,5,1,866
2015,5,2,2359
2015,5,3,225
2016,5,1,1004
2016,5,2,2729
2016,5,3,305
2017,5,1,1006
2017,5,2,2968
2017,5,3,396
2018,5,1,1104
2018,5,2,3202
2018,5,3,406
2019,5,1,1234
2019,5,2,3465
2019,5,3,497
2020,5,1,1125
2020,5,2,3746
2020,5,3,457
2021,5,1,1208
2021,5,2,3925
2021,5,3,540
2014,6,1,678
2014,6,2,2081
2014,6,3,133
2015,6,1,865
2015,6,2,2361
2015,6,3,231
2016,6,1,1000
2016,6,2,2749
2016,6,3,314
2017,6,1,1171
2017,6,2,3002
2017,6,3,383
2018,6,1,1104
2018,6,2,3202
2018,6,3,411
2019,6,1,1213
2019,6,2,3450
2019,6,3,466
2020,6,1,1093
2020,6,2,3738
2020,6,3,439
2021,6,1,1254
2021,6,2,3987
2021,6,3,568
2014,7,1,691
2014,7,2,2095
2014,7,3,140
2015,7,1,896
2015,7,2,2365
2015,7,3,227
2016,7,1,990
2016,7,2,2754
2016,7,3,309
2017,7,1,1166
2017,7,2,3007
2017,7,3,365
2018,7,1,1122
2018,7,2,3199
2018,7,3,394
2019,7,1,1171
2019,7,2,3486
2019,7,3,470
2020,7,1,1102
2020,7,2,3726
2020,7,3,443
2021,7,1,1232
2021,7,2,4005
2021,7,3,539
2014,8,1,705
2014,8,2,2088
2014,8,3,126
2015,8,1,901
2015,8,2,2361
2015,8,3,222
2016,8,1,998
2016,8,2,2731
2016,8,3,306
2017,8,1,1155
2017,8,2,2984
2017,8,3,365
2018,8,1,1128
2018,8,2,3230
2018,8,3,368
2019,8,1,1165
2019,8,2,3496
2019,8,3,472
2020,8,1,1084
2020,8,2,3771
2020,8,3,444
2021,8,1,1240
2021,8,2,4004
2021,8,3,525
2014,9,1,734
2014,9,2,2100
2014,9,3,116
2015,9,1,899
2015,9,2,2382
2015,9,3,227
2016,9,1,989
2016,9,2,2713
2016,9,3,284
2017,9,1,1140
2017,9,2,2951
2017,9,3,338
2018,9,1,1144
2018,9,2,3207
2018,9,3,342
2019,9,1,1157
2019,9,2,3483
2019,9,3,455
2020,9,1,1065
2020,9,2,3785
2020,9,3,437
2021,9,1,1295
2021,9,2,4014
2021,9,3,486
2014,10,1,746
2014,10,2,2093
2014,10,3,123
2015,10,1,899
2015,10,2,2412
2015,10,3,219
2016,10,1,1017
2016,10,2,2741
2016,10,3,298
2017,10,1,1110
2017,10,2,2980
2017,10,3,343
2018,10,1,1140
2018,10,2,3195
2018,10,3,357
2019,10,1,1100
2019,10,2,3550
2019,10,3,455
2020,10,1,1091
2020,10,2,3743
2020,10,3,446
2021,10,1,1217
2021,10,2,4003
2021,10,3,469
2014,11,1,759
2014,11,2,2093
2014,11,3,115
2015,11,1,924
2015,11,2,2439
2015,11,3,226
2016,11,1,1003
2016,11,2,2740
2016,11,3,309
2017,11,1,1076
2017,11,2,3002
2017,11,3,340
2018,11,1,1184
2018,11,2,3194
2018,11,3,354
2019,11,1,1085
2019,11,2,3504
2019,11,3,429
2020,11,1,1109
2020,11,2,3735
2020,11,3,417
2021,11,1,1340
2021,11,2,3980
2021,11,3,448
2014,12,1,779
2014,12,2,2118
2014,12,3,116
2015,12,1,907
2015,12,2,2461
2015,12,3,219
2016,12,1,991
2016,12,2,2747
2016,12,3,307
2017,12,1,1101
2017,12,2,2999
2017,12,3,325
2018,12,1,1127
2018,12,2,3191
2018,12,3,310
2019,12,1,1067
2019,12,2,3527
2019,12,3,397
2020,12,1,1096
2020,12,2,3789
2020,12,3,404
2021,12,1,1369
2021,12,2,4017
2021,12,3,448
