month,year,treatment,N_ID
1,2011,1,-1
1,2011,2,1239
1,2012,1,-1
1,2012,2,264
1,2013,1,-1
1,2013,2,357
1,2014,1,95
1,2014,2,437
1,2014,3,118
1,2015,1,50
1,2015,2,321
1,2015,3,105
1,2016,1,314
1,2016,2,411
1,2016,3,176
1,2017,1,96
1,2017,2,435
1,2017,3,193
1,2018,1,59
1,2018,2,446
1,2018,3,211
1,2019,1,740
1,2019,2,558
1,2019,3,259
1,2020,1,129
1,2020,2,621
1,2020,3,224
1,2021,1,137
1,2021,2,546
1,2021,3,181
2,2011,1,-1
2,2011,2,239
2,2012,2,194
2,2013,1,-1
2,2013,2,258
2,2014,1,13
2,2014,2,280
2,2014,3,51
2,2015,1,32
2,2015,2,252
2,2015,3,79
2,2016,1,43
2,2016,2,284
2,2016,3,118
2,2017,1,41
2,2017,2,334
2,2017,3,153
2,2018,1,55
2,2018,2,338
2,2018,3,162
2,2019,1,64
2,2019,2,403
2,2019,3,180
2,2020,1,78
2,2020,2,460
2,2020,3,185
2,2021,1,124
2,2021,2,523
2,2021,3,162
3,2011,1,-1
3,2011,2,280
3,2012,1,-1
3,2012,2,222
3,2013,1,-1
3,2013,2,222
3,2014,1,46
3,2014,2,284
3,2014,3,52
3,2015,1,47
3,2015,2,292
3,2015,3,74
3,2016,1,49
3,2016,2,317
3,2016,3,119
3,2017,1,78
3,2017,2,351
3,2017,3,141
3,2018,1,77
3,2018,2,367
3,2018,3,142
3,2019,1,79
3,2019,2,389
3,2019,3,182
3,2020,1,62
3,2020,2,479
3,2020,3,174
3,2021,1,115
3,2021,2,516
3,2021,3,190
4,2008,1,-1
4,2010,1,-1
4,2011,1,-1
4,2011,2,125
4,2012,1,-1
4,2012,2,179
4,2013,1,-1
4,2013,2,231
4,2014,1,48
4,2014,2,252
4,2014,3,42
4,2015,1,41
4,2015,2,273
4,2015,3,91
4,2016,1,34
4,2016,2,287
4,2016,3,102
4,2017,1,60
4,2017,2,292
4,2017,3,143
4,2018,1,70
4,2018,2,360
4,2018,3,147
4,2019,1,81
4,2019,2,447
4,2019,3,143
4,2020,1,60
4,2020,2,451
4,2020,3,159
4,2021,1,102
4,2021,2,515
4,2021,3,177
5,2009,1,-1
5,2010,1,-1
5,2011,1,-1
5,2011,2,271
5,2012,1,-1
5,2012,2,157
5,2013,2,231
5,2014,1,28
5,2014,2,254
5,2014,3,48
5,2015,1,53
5,2015,2,242
5,2015,3,65
5,2016,1,40
5,2016,2,304
5,2016,3,98
5,2017,1,73
5,2017,2,332
5,2017,3,145
5,2018,1,77
5,2018,2,368
5,2018,3,163
5,2019,1,64
5,2019,2,426
5,2019,3,164
5,2020,1,110
5,2020,2,401
5,2020,3,134
5,2021,1,195
5,2021,2,532
5,2021,3,190
6,2011,2,178
6,2012,1,-1
6,2012,2,142
6,2013,1,-1
6,2013,2,216
6,2014,1,25
6,2014,2,208
6,2014,3,44
6,2015,1,37
6,2015,2,271
6,2015,3,81
6,2016,1,45
6,2016,2,295
6,2016,3,128
6,2017,1,244
6,2017,2,329
6,2017,3,136
6,2018,1,66
6,2018,2,361
6,2018,3,154
6,2019,1,62
6,2019,2,399
6,2019,3,144
6,2020,1,48
6,2020,2,421
6,2020,3,132
6,2021,1,259
6,2021,2,592
6,2021,3,194
7,2007,1,-1
7,2009,1,-1
7,2010,1,-1
7,2011,1,-1
7,2011,2,155
7,2012,1,-1
7,2012,2,161
7,2013,1,387
7,2013,2,236
7,2014,1,38
7,2014,2,228
7,2014,3,50
7,2015,1,61
7,2015,2,228
7,2015,3,63
7,2016,1,51
7,2016,2,259
7,2016,3,97
7,2017,1,43
7,2017,2,281
7,2017,3,124
7,2018,1,110
7,2018,2,333
7,2018,3,124
7,2019,1,58
7,2019,2,451
7,2019,3,178
7,2020,1,54
7,2020,2,418
7,2020,3,155
7,2021,1,96
7,2021,2,595
7,2021,3,159
8,2007,1,-1
8,2011,1,-1
8,2011,2,118
8,2012,2,173
8,2013,1,-1
8,2013,2,198
8,2014,1,37
8,2014,2,207
8,2014,3,43
8,2015,1,42
8,2015,2,238
8,2015,3,62
8,2016,1,48
8,2016,2,261
8,2016,3,108
8,2017,1,51
8,2017,2,302
8,2017,3,130
8,2018,1,70
8,2018,2,366
8,2018,3,115
8,2019,1,100
8,2019,2,411
8,2019,3,155
8,2020,1,66
8,2020,2,462
8,2020,3,134
8,2021,1,106
8,2021,2,616
8,2021,3,182
9,2009,1,-1
9,2011,1,-1
9,2011,2,315
9,2012,2,134
9,2013,1,13
9,2013,2,226
9,2014,1,55
9,2014,2,213
9,2014,3,38
9,2015,1,35
9,2015,2,234
9,2015,3,81
9,2016,1,44
9,2016,2,279
9,2016,3,106
9,2017,1,57
9,2017,2,280
9,2017,3,120
9,2018,1,101
9,2018,2,302
9,2018,3,110
9,2019,1,70
9,2019,2,402
9,2019,3,146
9,2020,1,80
9,2020,2,433
9,2020,3,145
9,2021,1,302
9,2021,2,620
9,2021,3,183
10,2011,1,-1
10,2011,2,118
10,2012,1,-1
10,2012,2,162
10,2013,1,12
10,2013,2,222
10,2014,1,54
10,2014,2,221
10,2014,3,46
10,2015,1,28
10,2015,2,240
10,2015,3,69
10,2016,1,82
10,2016,2,272
10,2016,3,110
10,2017,1,51
10,2017,2,295
10,2017,3,116
10,2018,1,68
10,2018,2,326
10,2018,3,133
10,2019,1,92
10,2019,2,449
10,2019,3,164
10,2020,1,93
10,2020,2,398
10,2020,3,129
10,2021,1,132
10,2021,2,621
10,2021,3,160
11,2010,1,-1
11,2011,2,114
11,2012,2,151
11,2013,1,-1
11,2013,2,172
11,2014,1,31
11,2014,2,191
11,2014,3,41
11,2015,1,63
11,2015,2,228
11,2015,3,81
11,2016,1,41
11,2016,2,266
11,2016,3,107
11,2017,1,38
11,2017,2,299
11,2017,3,122
11,2018,1,114
11,2018,2,333
11,2018,3,122
11,2019,1,61
11,2019,2,389
11,2019,3,122
11,2020,1,90
11,2020,2,396
11,2020,3,120
11,2021,1,317
11,2021,2,621
11,2021,3,160
12,2009,1,-1
12,2010,1,-1
12,2011,2,106
12,2012,1,-1
12,2012,2,187
12,2012,3,-1
12,2013,1,12
12,2013,2,175
12,2014,1,41
12,2014,2,222
12,2014,3,39
12,2015,1,27
12,2015,2,256
12,2015,3,45
12,2016,1,34
12,2016,2,252
12,2016,3,110
12,2017,1,70
12,2017,2,259
12,2017,3,112
12,2018,1,28
12,2018,2,301
12,2018,3,71
12,2019,1,61
12,2019,2,394
12,2019,3,117
12,2020,1,69
12,2020,2,461
12,2020,3,128
12,2021,1,293
12,2021,2,872
12,2021,3,207
