                                           Months of incarceration per person                                           

  Obs  ID    DATE  FINAL_RE  FINAL_SEX
    1   1  201502         1          1
    2   1  201503         1          1
    3   1  201504         1          1
    4   1  201505         1          1
    5   1  201506         1          1
    6   1  201507         1          1
    7   1  201508         1          1
    8   1  201509         1          1
    9   1  201510         1          1
   10   1  201511         1          1
   11   1  201512         1          1
   12   1  201601         1          1
   13   1  201602         1          1
   14   2  201701         2          2
   15   2  201702         2          2
   16   2  201703         2          2
   17   2  201704         2          2
   18   2  201705         2          2
   19   2  201706         2          2
   20   2  201707         2          2
   21   2  201708         2          2
   22   2  201709         2          2
   23   2  201710         2          2
   24   2  201711         2          2
   25   2  201712         2          2
   26   2  201801         2          2
   27   3  201707         3          1
   28   3  201708         3          1
   29   3  201709         3          1
   30   3  201710         3          1
   31   3  201711         3          1
   32   3  201712         3          1
   33   3  201801         3          1
   34   3  201802         3          1
   35   3  201803         3          1

